0,1,2,3,4,5
B0GDL5HXM4,B02F38NJDF,固戍沙湾烈士陵园纪念碑,生活服务;丧葬设施;陵园|风景名胜;风景名胜相关;旅游景点,南昌路与延康路交叉口西200米,"113.841800,22.592884"
B02F38ZURR,,洪田七烈士墓,生活服务;丧葬设施;陵园|风景名胜;风景名胜相关;旅游景点,沙井新区宝安中心区洪田路,"113.855128,22.69782"
B02F37VJ07,,鹰山墓园,生活服务;丧葬设施;陵园,S31龙大高速,"113.906765,22.816661"
B0FFGWUJLE,B0FFF4D7IM,清福园,生活服务;丧葬设施;陵园,铁仔路铁仔山公园东南侧约50米,"113.867069,22.585805"
B030105I09,,黄江梅塘烈士公园,生活服务;丧葬设施;陵园,元岗一街与公常路交叉口西北80米,"113.978365,22.83059"
